Question,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Group Standard Deviation,Threshold 3,Threshold 4,Threshold 5,Threshold 6,Threshold 7,Threshold 8,Threshold 9,Threshold 10,New Score 3,New Score 4,New Score 5,New Score 6,New Score 7,New Score 8,New Score 9,New Score 10,Question Text
A1,0.0772897221363447,0.0668092567886314,0.0618496803656601,0.0558681412123096,0.0534087426483824,0.04963392033593,0.0478111911302584,0.0464965384288341,0.1039302662428151,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I feel little concern for others.
A10,0.0757014974231451,0.0652074676868661,0.0603592241842516,0.0581031875032858,0.0536140597717772,0.0522526089219759,0.0477246281997779,0.0460117075665322,0.11069171457152241,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I make people feel at ease.
A2,0.0759607519852165,0.0653487099398465,0.0610415715259132,0.0562918343253299,0.0529198401551856,0.051277290707265,0.0477214533149137,0.0459120615760651,0.12852799498635978,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I am interested in people.
A3,0.0758674496171573,0.0661119190483787,0.0611617282812616,0.0558650854293453,0.0532983039967231,0.0534366459480132,0.0476582875879773,0.0459063961466354,0.10235860768016104,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I insult people.
A4,0.0767052661790164,0.0656718449782965,0.061502505804598,0.0571543611339437,0.0521777888870205,0.0494567556451042,0.0474375825028451,0.045586959629221,0.1344678894832636,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I sympathize with others' feelings.
A5,0.0766450777510261,0.0658946621068906,0.0620729531367847,0.0557436471079444,0.0530379273775949,0.0491854949773733,0.0474692851346176,0.0461415444225802,0.12890110051152986,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I am not interested in other people's problems.
A6,0.0769887743194648,0.0662059169242928,0.0615666847073201,0.0553803226590632,0.0527936104733527,0.0501489537209101,0.0479996102161036,0.0465132267742581,0.12184338249682267,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I have a soft heart.
A7,0.0761657966680795,0.0653861518937136,0.061115769260318,0.0557375817499128,0.0526510542999695,0.0496813722472189,0.0475894753383951,0.0457851870723828,0.1450290615073958,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I am not really interested in others.
A8,0.0764421742998574,0.0658682841360525,0.0608080262714233,0.0577660009102251,0.0536702675741548,0.0498140516918224,0.0472566989636405,0.0460826062565266,0.10638077776514877,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I take time out for others.
A9,0.0767452329316683,0.0656451452216006,0.0616608481023767,0.0577715151376377,0.0532974618265134,0.0497105720212251,0.0471966789798952,0.0455150626103714,0.13532193648029486,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I feel others' emotions.
C1,0.0762447845231707,0.0660098314811489,0.0615320919801786,0.0557510162088268,0.0527102423106711,0.0518201490718691,0.047730657472838,0.0467635673583688,0.0764489422562711,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I am always prepared.
C10,0.0763533981501046,0.0657927336781651,0.0611573155063008,0.0556795840330344,0.0532410672527917,0.0501963001213439,0.0470369292932648,0.0462228308884401,0.04969254570047727,0.07548853721606705,0.06521814140437901,0.06066395871654634,0.05760907361796695,0.05254644406213713,0.05307646931467092,0.04744030267638262,0.04551387827109723,0.15493754129000797,0.14224206359002006,0.12159017596308994,0.06877588439717496,0.13622338900447703,0.059683770200357346,0.06333812521756807,0.08788381584793302,I am exacting in my work.
